DEVELOPER_ID,NAME
1,none
2,"""Ellie"""
3,#workshop
4,(STCG) Smoker The Car Game
5,+7 Software
6,"+Mpact Games, LLC."
7,-Yodasaurus- Games
8,.M.Y.W.
9,.dat
10,.ez Games
11,07th Expansion
12,08 Games
13,0Bennyman
14,0Cube
15,100 Plus Games llc
16,100 Stones Interactive
17,10101 Software
18,10Ants Hill
19,10ft Games
20,10ravens s.r.o.
21,10th Art Studio
22,10tons Ltd
23,10x10 Room
24,11 bit studios
25,11Sheep
26,12 East Games
27,12 Hit Combo
28,12 to 6 Studios LLC
29,12B3
30,13-lab
31,1337 & Senri AB
32,13AM Games
33,14 Dimension Enterprise
34,14 Hours Productions
35,14Dimension Enterprise
36,14° East
37,16 Bit Psych
38,16 Swans
39,16air
40,16bit Nights
41,17-BIT
42,17Studio
43,1812 Productions (PC Port)
44,1888 Games
45,18Light Game Ltd.
46,1939 Games
47,1C Company
48,1C Entertainment
49,1C Game Studios
50,1C Wireless
51,1C-Avalon
52,1C-SoftClub
53,1C: Maddox Games
54,1C:InoCo
55,1CC Games
56,1MP
57,1bgame
58,1st impact games
59,2 Bears Studio
60,2 Hit Studio
61,2 Monkeys
62,2 Zombie Games
63,2 players
64,"2,000 Damage"
65,2-Volt Games
66,2.0 Studios
67,2015
68,2020 Venture
69,2049VR
70,20letpast
71,"21c.Ducks Co., Ltd."
72,22cans
73,25% Games
74,251 Games
75,2645turquoise
76,26k
77,2Awesome Studio
78,2BAD GAMES
79,2BDev
80,2B_GAMES
81,2Bit Studios
82,2Chance Projects
83,2D BOY
84,2D Heroes
85,2DArray
86,2DEngine.com
87,2DGameMania
88,2DHD
89,2Dog Games
90,2DragonsGames
91,2Frogs Software
92,2K Australia
93,2K Boston
94,2K China
95,2K Czech
96,2K Marin
97,2Pi Interactive Pvt. Ltd.
98,2Play
99,2SD
100,2XL Games
101,2by3 Games
102,2cute
103,2dengine
104,2ndRevelation
105,2ndUp Studios
106,2think design studio
107,2x2 Games
108,2xMilk
109,3 Core Studio
110,3 Fright
111,3 Minute Games
112,3 Sprockets
113,30.06 Studios Ltd
114,300 fps
115,3000AD
116,302 Interactive
117,3100 games
118,313 Studios
119,314 Arts
120,343 Industries
121,34BigThings srl
122,38 Studios
123,3Crew
124,3D ARTIST: JACOPO FILO DELLA TORRE
125,3D Avenue
126,3D FACTORY
127,3D Generation
128,3D Realms
129,3D Realms (Apogee Software)
130,3D Talo Finland
131,3D2 Entertainment
132,3DClouds.it
133,3DDUO
134,3DIQ
135,3Dflow SRL
136,3Division
137,3G:Games
138,3GoGames
139,3RISE
140,3X Entertainment Limited
141,3acg
142,3dinvis games
143,3f Interactive
144,3lb Games
145,3rd Eye Studios
146,3rd Eye Studios Oy LTD
147,3rdEye
148,3xBlast
149,3y3.net
150,4 Dimension Games
151,4 Door Lemon
152,4 Friends Games
153,4 Fun Studio
154,4 Fun Studio Inc.
155,4 Head Studios
156,4 I Lab
157,4-Panel Footprint
158,40Ggames
159,4188
160,48h Studio
161,49 Games
162,49肆酒
163,4A Games
164,4AM Games
165,4Bit Games
166,4DMACAU
167,4EdgesGames
168,4FreaksFiction
169,4Friends Games
170,4Fufelz
171,4H StudioLab
172,4HEAD Studios
173,4Head Studios
174,4M Software
175,4MB Interactive Ltd
176,4NetGames
177,4Realms
178,4ShawGames
179,4gency
180,4sdk
181,4th cluster
182,5 Bits Games
183,5 Lives Studios
184,51Pegasi Studios
185,55 Revolver
186,56 Game Studios
