USER_ID,VIDEOGAME_ID,PURCHASE_DATE,PLAYTIME
27425,387860,2020-09-14,2994
26638,27800,2013-07-28,2990
21569,308520,2022-01-06,2997
23842,402980,2020-11-08,2993
26023,104020,2018-07-17,3008
24501,63110,2014-03-25,2998
26909,332730,2024-06-11,3015
26760,225160,2024-01-07,2996
25467,357910,2013-05-11,3003
23517,340920,2015-04-08,2999
22359,343810,2020-03-30,3005
24202,12540,2012-03-01,2992
24300,332270,2018-06-23,3000
28258,389690,2012-04-14,3002
24096,398260,2018-04-06,2990
22277,365340,2018-10-09,2997
24198,104900,2021-04-21,3013
28991,328590,2015-02-07,2987
27446,377080,2019-01-04,2978
28041,365090,2021-11-05,2996
24010,331910,2020-09-30,3010
20359,377530,2022-08-30,2994
21043,362150,2024-01-10,2994
22987,324310,2017-09-20,3013
26294,326180,2013-01-30,3006
26224,252470,2022-07-01,3003
28479,318330,2021-01-11,2994
23037,408750,2020-08-05,3009
24252,312410,2015-06-08,2980
26480,39510,2020-11-19,2995
27643,289620,2017-04-19,2982
26965,319850,2014-03-27,2996
24658,351170,2022-12-04,3002
27145,407980,2021-07-09,2995
25734,249610,2014-06-18,2993
22500,247950,2015-09-08,2989
25096,339600,2021-12-30,2996
22160,286220,2019-11-17,2987
26264,354140,2017-07-06,2997
23001,270490,2019-05-28,2998
25894,307560,2014-02-13,2987
23828,372950,2017-03-23,2994
29223,273750,2023-09-27,3007
23747,249330,2018-08-13,3026
26386,318440,2022-05-28,3008
24049,371140,2014-03-11,3017
24040,295990,2024-05-25,2976
23458,388140,2022-05-30,2984
24431,301760,2016-10-07,2997
23018,352640,2015-01-21,2987
26865,259940,2012-04-08,2984
22329,388440,2012-07-21,2994
23756,58200,2015-01-25,3021
27066,263380,2016-07-21,2990
21540,403570,2022-03-23,2991
24444,337730,2021-06-25,3002
25182,391550,2014-11-09,2997
25368,283160,2019-03-10,2994
28303,391460,2012-05-26,3007
19706,354740,2019-02-08,3001
22004,211400,2022-10-03,2992
26088,291860,2016-01-10,2999
26479,35310,2016-10-16,3019
20865,107410,2018-04-04,3013
23433,264300,2016-12-21,3014
23341,307690,2021-04-22,2997
23662,234670,2018-12-26,3001
26225,284730,2021-09-02,3009
25886,15500,2024-06-22,2983
24859,271920,2022-02-24,2992
23291,273770,2012-08-29,3000
25816,386940,2014-06-03,3002
24197,267920,2017-08-27,2996
23155,8890,2012-11-08,3014
22538,398100,2013-04-26,3001
25030,311080,2022-09-23,3008
25605,299820,2014-09-07,2981
21186,391210,2023-01-30,3008
26426,291250,2018-03-05,2996
27351,325150,2019-11-13,3007
24572,407150,2024-02-15,2996
25891,277590,2017-04-09,2994
27722,46270,2013-05-28,3007
24497,46840,2015-09-06,2985
24056,385250,2014-12-07,2991
25688,327510,2018-05-13,2992
21117,341690,2015-10-19,3010
26502,292990,2022-03-11,3003
24456,23150,2014-05-18,3007
25820,383530,2012-07-13,3011
23132,23400,2014-04-20,2992
25466,308460,2018-12-30,3010
27767,244770,2019-01-26,2995
23865,374990,2023-02-13,3022
24996,36320,2016-11-15,2996
30227,390680,2015-04-10,2994
26621,209080,2022-04-04,3010
24431,365190,2020-09-18,2985
25298,302910,2018-11-17,2973
25110,331470,2021-04-01,2989
23078,402210,2022-01-17,2997
20002,1510,2019-08-02,2987
23747,357930,2012-10-26,2996
24267,293220,2017-12-06,2998
24461,371220,2013-02-27,3000
26747,364480,2018-10-08,3000
25512,398640,2012-08-15,2999
26482,386710,2022-12-14,2999
20422,369460,2017-09-23,3002
22731,317510,2017-04-05,2994
26890,371360,2013-12-31,3013
24085,273850,2017-02-06,3005
26396,391300,2019-01-01,3005
25603,367580,2012-11-26,2997
25499,346300,2021-07-06,3008
26157,401910,2024-06-15,3004
24646,403740,2024-02-09,3011
24701,243800,2017-06-22,2996
25474,251110,2019-01-29,2985
26193,3810,2020-01-18,3003
24384,370510,2018-09-18,3003
24433,307980,2023-09-16,3001
23237,356290,2016-09-15,2995
24719,37380,2014-08-04,2995
25843,220900,2016-11-26,2994
27270,4920,2013-06-19,2999
25274,359280,2013-12-21,2996
24711,328510,2019-09-13,3006
26781,243360,2023-11-22,2999
27142,388140,2017-07-09,2995
26219,253410,2013-04-05,2980
27926,388140,2014-08-20,3001
23574,284390,2019-07-21,3012
25659,329860,2022-05-11,3009
23302,58200,2019-11-22,2995
24368,20,2018-08-23,3010
22707,255960,2020-03-06,3000
27893,347080,2023-11-11,2992
28720,346340,2016-01-24,2983
28461,94200,2023-12-18,2999
24145,293320,2018-11-03,3010
22797,402260,2016-01-07,3010
23068,70200,2014-02-26,3012
22378,408760,2021-10-15,2990
23111,102840,2022-01-27,2999
23586,393860,2014-04-06,2990
24573,374460,2019-06-10,3017
23791,296550,2018-11-26,3006
27826,267530,2020-03-02,3001
24186,378450,2021-09-19,3001
22729,387010,2013-07-28,3004
23532,15740,2019-11-17,3011
23866,339120,2014-02-18,3009
24203,397750,2012-11-07,3007
25930,12120,2023-02-25,2996
26915,349790,2012-11-10,3003
25930,33760,2020-03-31,3001
28394,327920,2013-11-13,3009
23132,301990,2018-08-07,2983
23760,366460,2019-06-08,2994
24226,98100,2019-11-04,2986
25693,15320,2023-07-21,2982
26449,335320,2014-03-02,2998
24325,102400,2020-08-15,2988
25432,39200,2018-10-29,3006
24026,285980,2020-04-24,2983
27643,252090,2023-09-10,3007
25551,2100,2016-11-04,2987
23711,372210,2013-10-06,3008
25434,401890,2024-01-12,2978
27474,331400,2022-12-22,2973
22263,253670,2013-09-01,3000
26213,276890,2019-12-28,2993
25777,201010,2020-08-22,2998
21032,267610,2012-06-01,3009
24757,302910,2013-05-08,3011
24450,328940,2015-12-31,3014
24464,340700,2020-03-23,3010
25558,405010,2022-01-07,3009
23603,369390,2024-04-09,3003
24377,352640,2013-09-23,3004
27834,397240,2018-09-27,2985
27687,343370,2020-08-24,3012
22512,356160,2024-01-21,3003
24550,6880,2022-12-13,3008
23910,324260,2022-01-23,2995
24415,404850,2015-09-27,3005
26008,392290,2018-03-13,2990
24830,293740,2021-01-18,3000
27914,386590,2018-04-18,3000
24600,395600,2012-04-25,3015
25339,396660,2018-11-22,2987
26238,227080,2018-04-01,2993
24598,343820,2018-11-12,2988
24538,392070,2014-10-24,2994
25126,226740,2013-09-25,3011
24017,93200,2020-08-03,3004
20917,4420,2020-09-14,3009
27562,31300,2021-01-28,2993
26550,396710,2023-05-27,2998
24253,334830,2015-03-27,2992
26210,320110,2019-04-25,3005
26061,386280,2015-07-04,3011
26701,217790,2022-05-14,2993
26009,391270,2012-03-24,3006
26632,361990,2013-03-02,3003
24985,394130,2019-10-15,2997
23875,357320,2013-09-18,3004
22648,373480,2021-06-12,3006
23044,250420,2022-03-13,2993
25291,348860,2019-02-25,2992
23394,289300,2018-10-17,3003
24335,348820,2016-10-18,2998
22584,37380,2023-05-23,3001
21190,340450,2017-04-11,2995
22324,382360,2023-07-17,2981
25846,237950,2021-11-16,2996
25283,268970,2024-04-21,3021
22835,252390,2016-01-10,2997
25237,360040,2014-05-26,2984
23472,407710,2024-06-10,3004
24156,27600,2019-04-16,2998
21480,284160,2013-08-17,3000
23013,382110,2019-01-29,2992
24275,335690,2021-03-10,3003
24804,314050,2018-03-14,2996
24579,252570,2022-10-05,2997
23607,261960,2023-01-31,2996
27105,267340,2013-10-08,2984
23723,251310,2012-08-20,2996
27313,370510,2016-08-16,2995
28027,205830,2017-01-31,3004
24612,331570,2019-07-09,2986
23629,366570,2013-01-30,2995
23171,313210,2013-08-25,2997
22306,242680,2024-02-11,3008
24256,7650,2015-11-25,2988
26673,359670,2016-02-20,3004
25621,329440,2012-12-26,3000
24021,33610,2015-04-16,3013
22010,377500,2017-10-21,3000
21711,63650,2024-05-13,2994
25133,11130,2023-07-20,3004
23806,339340,2016-06-03,2994
28190,335460,2018-03-27,3004
23498,18020,2013-04-07,3015
23712,371710,2014-05-21,2989
23817,263920,2021-08-22,2999
25333,283430,2023-06-03,2978
25629,341530,2020-10-08,2991
21659,319830,2018-04-13,2994
24702,388440,2023-01-24,2993
23550,65800,2019-01-06,2986
25900,333760,2021-11-24,2998
24788,279800,2022-12-02,2998
22636,409580,2016-01-24,2998
25702,339190,2014-06-20,3004
26096,267980,2013-07-11,2985
22602,343820,2015-06-09,3015
22944,220,2014-11-06,3006
22855,262390,2017-02-16,3016
25822,306950,2016-03-04,3004
27050,363490,2019-10-05,2999
27606,358080,2024-05-30,3000
26762,327390,2012-11-02,2993
25266,232430,2021-09-26,2996
23306,269030,2013-05-15,3020
28286,20700,2020-11-25,2996
27348,336840,2023-09-21,2993
23954,239430,2014-08-05,2996
26711,220780,2017-12-17,2998
25547,367670,2020-02-25,2997
25119,398020,2020-01-03,2995
25466,403300,2015-05-01,3013
23944,72900,2021-09-11,3004
25525,319560,2019-01-22,3016
25971,305860,2020-02-19,2996
28205,342530,2016-04-08,2999
24668,31890,2017-12-11,2992
22848,399260,2019-10-28,3014
24089,286260,2018-10-06,2986
25411,50920,2021-08-14,3013
26173,50990,2013-07-20,3007
23851,224940,2023-01-17,2983
20891,16180,2022-01-10,2999
21693,335840,2020-04-06,3006
24056,17710,2015-02-18,3006
24465,311310,2023-11-09,3001
24205,303800,2018-05-11,2988
21607,342640,2016-02-06,2988
24174,32340,2020-12-04,2997
24426,57740,2022-09-26,2996
23373,2710,2012-03-30,3015
22306,373920,2021-02-01,3000
28066,286140,2021-12-05,3012
22193,97130,2019-02-12,2985
25746,348270,2019-07-20,3010
24200,270170,2016-06-01,2982
23216,365580,2020-10-08,3013
26874,219760,2018-06-30,3014
25479,318680,2015-11-04,3001
24763,409360,2015-02-28,2998
26385,383720,2016-11-14,3014
26607,240360,2020-08-01,3016
22502,366250,2015-12-28,2990
21490,348160,2014-06-14,3008
25757,332830,2017-08-09,2986
25693,15710,2019-02-07,2991
27447,291630,2022-10-02,3003
25138,374420,2022-12-30,3009
26894,11190,2022-08-09,2993
25259,342920,2013-05-23,2981
25463,273070,2015-11-26,2987
22931,8880,2020-09-20,3003
26369,274270,2021-04-14,2990
24084,369700,2019-03-01,2984
27203,16900,2014-09-28,2987
23983,350620,2022-12-25,2999
24632,222180,2016-06-26,2998
22838,351420,2016-12-04,2996
27019,313330,2024-04-21,2991
25466,36300,2021-04-20,2984
22610,403070,2020-05-13,3003
24826,364740,2020-09-11,2988
23796,341890,2023-08-05,3003
25809,25000,2014-09-17,3000
20448,21000,2017-04-15,2997
24429,372360,2018-03-09,2994
27330,306490,2015-01-03,3003
23838,388440,2021-01-15,2995
