VIDEOGAME_ID,NAME,RELEASE_DATE,REQUIRED_AGE,PRICE,POSITIVE_RATINGS,NEGATIVE_RATINGS
363110,NOBUNAGAS AMBITION: Tendou with Power Up Kit / 信長の野望・天道 with パワーアップキット,2015-06-25,0,39.99,33,16
363130,Toukiden: Kiwami,2015-06-25,0,49.99,734,370
363150,ROMANCE OF THE THREE KINGDOMS XIII / 三國志13,2016-01-27,0,49.99,2183,2520
363180,Tenshu General,2015-12-01,0,4.79,19,8
363200,Virus Jigglin Fever,2015-05-05,0,1.59,4,3
363220,Ghost in the Machine,2015-04-22,0,3.99,12,5
363240,Caveman Craig,2015-08-28,0,3.99,55,16
363270,O3DX,2016-01-22,0,5.59,37,24
363330,Mind Snares: Alices Journey,2015-04-23,0,6.99,398,55
363360,Interstellar Rift,2015-06-23,0,14.99,607,209
363410,Always The Same Blue Sky...,2015-05-21,0,1.99,162,48
363430,D Series OFF ROAD Driving Simulation,2015-05-19,0,5.99,25,42
363440,Mega Man Legacy Collection / ロックマン クラシックス コレクション,2015-08-24,0,11.99,1595,384
363460,Spermination,2015-04-29,0,1.99,351,56
363490,Escape Machines,2015-04-14,0,0.79,271,373
363500,Ossuary,2015-05-27,0,6.99,26,3
363510,STAR-BOX: RPG Adventures in Space,2015-08-17,0,3.99,44,43
363520,Goliath,2016-05-12,0,8.99,177,75
363530,Robot Arena III,2016-06-20,0,14.99,78,200
363580,PING 1.5+™,2015-08-13,0,3.99,15,2
363600,Holy Potatoes! A Weapon Shop?!,2015-07-13,0,10.99,1022,362
363610,Botology,2015-06-24,0,0.79,79,209
363620,Tea Party Simulator 2015™,2015-04-23,0,6.99,472,214
363650,Hackers Beat,2015-09-25,0,6.99,28,24
363660,Island Flight Simulator,2015-04-17,0,4.99,4,29
363670,Seeders,2015-08-21,0,6.99,18,13
363680,Battlefleet Gothic: Armada,2016-04-21,0,24.99,3048,1435
363790,Egg Returns Home,2015-05-05,0,0.79,397,107
363840,Ancient Battle: Rome,2017-08-15,0,6.99,3,4
363890,RPG Maker MV,2015-10-23,0,60.99,2344,324
363920,SWR JST DX Selective Memory Erase Effect,2015-04-20,0,3.99,16,11
363930,Dead Age,2016-11-04,0,10.99,2889,595
363940,Solar Shifter EX,2015-09-11,0,3.99,33,43
363950,Windscape,2019-03-27,0,15.99,147,18
363960,Devils & Demons,2015-10-06,0,6.99,27,49
363970,Clicker Heroes,2015-05-13,0,0,42530,4734
363980,Forget Me Not: My Organic Garden,2015-08-21,0,6.99,236,39
364000,Culina: Hands in the Kitchen,2016-11-11,0,14.99,6,3
364050,Face It - A game to fight inner demons,2017-06-09,0,2.79,907,251
364060,Capsule Force,2015-08-25,0,3.99,23,9
364100,Space Robot Samurai Zombie Slayer,2015-05-21,0,1.69,17,7
364130,Ride the Bullet,2015-05-22,0,2.79,14,7
364190,ASDAD: All-Stars Dungeons and Diamonds,2015-10-01,0,3.99,17,4
364200,Farabel,2016-10-14,0,6.99,62,13
364230,Lucius Demake,2016-08-08,0,3.99,252,12
364250,XIIZEAL,2015-06-05,0,8.99,27,4
364260,Warlocks Citadel,2015-10-09,0,4.79,5,1
364300,Space Rogue,2016-09-15,0,6.99,224,116
364350,The Apotheosis Project,2015-07-10,0,2.09,23,19
364360,Total War: WARHAMMER,2016-05-24,0,39.99,29826,9878
364370,The Sheltered,2015-04-23,0,1.59,8,8
364380,CINEVEO - VR Cinema,2015-04-24,0,22.99,75,39
364390,Downfall,2016-02-15,18,7.19,522,37
364420,Roguelands,2016-06-13,0,7.19,2479,639
364470,The Elder Scrolls®: Legends™,2017-05-31,0,0,5365,2099
364480,Red Goblin: Cursed Forest,2015-05-15,0,3.99,13,15
364510,Transcendence,2015-07-24,0,5.99,74,6
364630,AirMech Command,2017-03-08,0,14.99,113,50
364640,FreeCell Quest,2015-10-19,0,6.99,234,101
364660,Luminoso,2015-04-17,0,3.99,1,3
364690,SUPER DISTRO,2015-07-22,0,0.79,405,687
364700,Dawn of the Plow,2015-11-02,0,2.89,8,1
364720,Reagan Gorbachev,2016-02-24,0,7.99,12,1
364740,Magi,2017-01-17,0,6.99,11,2
364750,Hacker Evolution Source Code,2015-05-11,0,18.99,13,5
364770,Super Furball,2015-04-21,0,2.79,38,9
364790,Voyage to Farland,2015-06-02,0,4.79,14,3
364800,Star Trek™: Judgment Rites,2015-05-08,0,6.99,22,1
364810,Star Trek™: Starfleet Academy,2015-05-08,0,6.99,46,11
